,Address,Day,Details,Amount,Balance
1252,48 1st Street Rent,91,Rent,-12.32229,21395.32
1253,42 3rd Street Rent,91,Rent,-38.02306,21357.29
1254,59 3rd Street Rent,91,Rent,-75.99196,21281.3
1255,7 3rd Avenue Rent,91,Rent,-42.2027,21239.1
1256,Katara Jewels Revenue,90,Revenue,800.0,22039.1
1257,Jensen Capital Loan Payment,91,LoanPayment,-18.0,22021.1
1258,Marketing campaigns for Elite Jewels,91,Marketing,-500.0,21521.1
1259,Marketing campaigns for Katara Jewels,91,Marketing,-100.0,21421.1
1260,Subway Ride,91,SubwayRide,-3.0,21418.1
1261,Subway Ride,91,SubwayRide,-3.0,21415.1
1262,Evie Jones (Katalytica Daily Wage),91,Wage,-280.0,21135.1
1263,Lily Barton (Katalytica Daily Wage),91,Wage,-215.0,20920.1
1264,Tommy Brooks (Katalytica Daily Wage),91,Wage,-88.0,20832.1
1265,37 3rd Street Rent,92,Rent,-9.478683,20822.62
1266,Katalytica Revenue,91,Revenue,1200.0,22022.62
1267,1 4th Street Rent,92,Rent,-64.31962,21958.3
1268,48 1st Street Rent,92,Rent,-12.32229,21945.98
1269,42 3rd Street Rent,92,Rent,-38.02306,21907.96
1270,59 3rd Street Rent,92,Rent,-75.99196,21831.96
1271,7 3rd Avenue Rent,92,Rent,-42.2027,21789.76
1272,Katara Jewels Revenue,91,Revenue,1200.0,22989.76
1273,Jensen Capital Loan Payment,92,LoanPayment,-18.0,22971.76
1274,Marketing campaigns for Elite Jewels,92,Marketing,-500.0,22471.76
1275,Marketing campaigns for Katara Jewels,92,Marketing,-100.0,22371.76
1276,Subway Ride,92,SubwayRide,-3.0,22368.76
1277,Subway Ride,92,SubwayRide,-3.0,22365.76
1278,Evie Jones (Katalytica Daily Wage),92,Wage,-560.0,21805.76
1279,Zoe Gomez (Elite Jewels Daily Wage),92,Wage,-256.0,21549.76
1280,Tommy Brooks (Katalytica Daily Wage),92,Wage,-88.0,21461.76
1281,Christian Hall (KaraKata Holdings Daily Wage),92,Wage,-184.0,21277.76
1282,Merit Johnson (KaraKata Holdings Daily Wage),92,Wage,-224.0,21053.76
1283,Katherine Moss (Elite Jewels Daily Wage),92,Wage,-25.0,21028.76
1284,37 3rd Street Rent,93,Rent,-9.478683,21019.28
1285,Katalytica Revenue,92,Revenue,1200.0,22219.28
1286,1 4th Street Rent,93,Rent,-64.31962,22154.96
1287,Elite Jewels Revenue,92,Revenue,12000.0,34154.96
1288,48 1st Street Rent,93,Rent,-12.32229,34142.64
1289,42 3rd Street Rent,93,Rent,-38.02306,34104.61
1290,59 3rd Street Rent,93,Rent,-75.99196,34028.62
1291,7 3rd Avenue Rent,93,Rent,-42.2027,33986.42
1292,Katara Jewels Revenue,92,Revenue,1200.0,35186.42
1293,Jensen Capital Loan Payment,93,LoanPayment,-18.0,35168.42
1294,Marketing campaigns for Elite Jewels,93,Marketing,-500.0,34668.42
1295,Marketing campaigns for Katara Jewels,93,Marketing,-100.0,34568.42
1296,Subway Ride,93,SubwayRide,-3.0,34565.42
1297,Subway Ride,93,SubwayRide,-3.0,34562.42
1298,Evie Jones (Katalytica Daily Wage),93,Wage,-560.0,34002.42
1299,Zoe Gomez (Elite Jewels Daily Wage),93,Wage,-256.0,33746.42
1300,Tommy Brooks (Katalytica Daily Wage),93,Wage,-88.0,33658.42
1301,Christian Hall (KaraKata Holdings Daily Wage),93,Wage,-184.0,33474.42
1302,Merit Johnson (KaraKata Holdings Daily Wage),93,Wage,-224.0,33250.42
1303,Katherine Moss (Elite Jewels Daily Wage),93,Wage,-25.0,33225.42
1304,Lara Norris (Warehouse #1 Daily Wage),93,Wage,-153.9,33071.52
1305,37 3rd Street Rent,94,Rent,-9.478683,33062.04
1306,Katalytica Revenue,93,Revenue,960.0,34022.04
1307,1 4th Street Rent,94,Rent,-64.31962,33957.72
1308,Elite Jewels Revenue,93,Revenue,12000.0,45957.72
1309,48 1st Street Rent,94,Rent,-12.32229,45945.39
1310,42 3rd Street Rent,94,Rent,-38.02306,45907.37
1311,59 3rd Street Rent,94,Rent,-75.99196,45831.38
1312,7 3rd Avenue Rent,94,Rent,-42.2027,45789.18
1313,Katara Jewels Revenue,93,Revenue,600.0,46389.18
1314,Jensen Capital Loan Payment,94,LoanPayment,-18.0,46371.18
1315,Marketing campaigns for Elite Jewels,94,Marketing,-500.0,45871.18
1316,Marketing campaigns for Katara Jewels,94,Marketing,-100.0,45771.18
1317,Recruitment Campaign,94,RecruitmentCampaign,-1000.0,44771.18
1318,Recruitment Campaign,94,RecruitmentCampaign,-1000.0,43771.18
1319,Recruitment Campaign,94,RecruitmentCampaign,-500.0,43271.18
1320,Subway Ride,94,SubwayRide,-3.0,43268.18
1321,Subway Ride,94,SubwayRide,-3.0,43265.18
1322,Evie Jones (Katalytica Daily Wage),94,Wage,-560.0,42705.18
1323,Zoe Gomez (Elite Jewels Daily Wage),94,Wage,-32.0,42673.18
1324,Tommy Brooks (Katalytica Daily Wage),94,Wage,-88.0,42585.18
1325,Christian Hall (KaraKata Holdings Daily Wage),94,Wage,-184.0,42401.18
1326,Merit Johnson (KaraKata Holdings Daily Wage),94,Wage,-224.0,42177.18
1327,Katherine Moss (Elite Jewels Daily Wage),94,Wage,-200.0,41977.18
1328,Lara Norris (Warehouse #1 Daily Wage),94,Wage,-153.9,41823.28
1329,37 3rd Street Rent,95,Rent,-9.478683,41813.8
1330,Katalytica Revenue,94,Revenue,960.0,42773.8
1331,1 4th Street Rent,95,Rent,-64.31962,42709.48
1332,Elite Jewels Revenue,94,Revenue,16000.0,58709.48
1333,48 1st Street Rent,95,Rent,-12.32229,58697.15
1334,42 3rd Street Rent,95,Rent,-38.02306,58659.13
1335,59 3rd Street Rent,95,Rent,-75.99196,58583.14
1336,7 3rd Avenue Rent,95,Rent,-42.2027,58540.93
1337,Katara Jewels Revenue,94,Revenue,600.0,59140.93
1338,Jensen Capital Loan Payment,95,LoanPayment,-18.0,59122.93
1339,Marketing campaigns for Elite Jewels,95,Marketing,-500.0,58622.93
1340,Marketing campaigns for Katara Jewels,95,Marketing,-100.0,58522.93
1341,Evie Jones (Katalytica Daily Wage),95,Wage,-280.0,58242.93
1342,Lily Barton (Katalytica Daily Wage),95,Wage,-215.0,58027.93
1343,Zoe Gomez (Elite Jewels Daily Wage),95,Wage,-32.0,57995.93
1344,Tommy Brooks (Katalytica Daily Wage),95,Wage,-66.0,57929.93
1345,Christian Hall (KaraKata Holdings Daily Wage),95,Wage,-184.0,57745.93
1346,Merit Johnson (KaraKata Holdings Daily Wage),95,Wage,-224.0,57521.93
1347,Katherine Moss (Elite Jewels Daily Wage),95,Wage,-200.0,57321.93
1348,Lara Norris (Warehouse #1 Daily Wage),95,Wage,-153.9,57168.04
1349,Grover Brown (KaraKata Holdings Daily Wage),95,Wage,-150.0,57018.04
1350,Maria Willis (Katara Jewels Daily Wage),95,Wage,-200.0,56818.04
1351,Lindsey Richardson (Katara Jewels Daily Wage),95,Wage,-100.0,56718.04
1352,37 3rd Street Rent,96,Rent,-9.478683,56708.55
1353,Katalytica Revenue,95,Revenue,960.0,57668.55
1354,1 4th Street Rent,96,Rent,-64.31962,57604.23
1355,Elite Jewels Revenue,95,Revenue,16000.0,73604.23
1356,48 1st Street Rent,96,Rent,-12.32229,73591.91
1357,42 3rd Street Rent,96,Rent,-38.02306,73553.89
1358,59 3rd Street Rent,96,Rent,-75.99196,73477.9
1359,7 3rd Avenue Rent,96,Rent,-42.2027,73435.7
1360,Katara Jewels Revenue,95,Revenue,600.0,74035.7
1361,Delivery from United Ocean Import ,96,ImportDelivery,-31213.77,42821.93
1362,Jensen Capital Loan Payment,96,LoanPayment,-18.0,42803.93
1363,Marketing campaigns for Elite Jewels,96,Marketing,-500.0,42303.93
1364,Lily Barton (Katalytica Daily Wage),96,Wage,-430.0,41873.93
1365,Zoe Gomez (Elite Jewels Daily Wage),96,Wage,-256.0,41617.93
1366,Tommy Brooks (Katalytica Daily Wage),96,Wage,-88.0,41529.93
1367,Christian Hall (KaraKata Holdings Daily Wage),96,Wage,-184.0,41345.93
1368,Merit Johnson (KaraKata Holdings Daily Wage),96,Wage,-224.0,41121.93
1369,Katherine Moss (Elite Jewels Daily Wage),96,Wage,-25.0,41096.93
1370,Lara Norris (Warehouse #1 Daily Wage),96,Wage,-153.9,40943.03
1371,Grover Brown (KaraKata Holdings Daily Wage),96,Wage,-200.0,40743.03
1372,Maria Willis (Katara Jewels Daily Wage),96,Wage,-200.0,40543.03
1373,Lindsey Richardson (Katara Jewels Daily Wage),96,Wage,-200.0,40343.03
1374,37 3rd Street Rent,97,Rent,-9.478683,40333.55
1375,Katalytica Revenue,96,Revenue,960.0,41293.55
1376,1 4th Street Rent,97,Rent,-64.31962,41229.23
1377,Elite Jewels Revenue,96,Revenue,16000.0,57229.23
1378,48 1st Street Rent,97,Rent,-12.32229,57216.9
1379,42 3rd Street Rent,97,Rent,-38.02306,57178.88
1380,59 3rd Street Rent,97,Rent,-75.99196,57102.89
1381,7 3rd Avenue Rent,97,Rent,-42.2027,57060.68
1382,Katara Jewels Revenue,96,Revenue,1200.0,58260.68
1383,Jensen Capital Loan Payment,97,LoanPayment,-18.0,58242.68
1384,Marketing campaigns for Elite Jewels,97,Marketing,-500.0,57742.68
1385,Jensen Capital Loan Pay Off,97,LoanPayOff,-16072.0,41670.68
1386,UMC Desert,97,VehicleBought,-6000.0,35670.68
1387,Lily Barton (Katalytica Daily Wage),97,Wage,-430.0,35240.68
1388,Zoe Gomez (Elite Jewels Daily Wage),97,Wage,-32.0,35208.68
1389,Tommy Brooks (Katalytica Daily Wage),97,Wage,-88.0,35120.68
1390,Katherine Moss (Elite Jewels Daily Wage),97,Wage,-200.0,34920.68
1391,Lara Norris (Warehouse #1 Daily Wage),97,Wage,-153.9,34766.79
1392,Maria Willis (Katara Jewels Daily Wage),97,Wage,-200.0,34566.79
1393,Lindsey Richardson (Katara Jewels Daily Wage),97,Wage,-200.0,34366.79
1394,37 3rd Street Rent,98,Rent,-9.478683,34357.3
1395,Katalytica Revenue,97,Revenue,960.0,35317.3
1396,1 4th Street Rent,98,Rent,-64.31962,35252.98
1397,Elite Jewels Revenue,97,Revenue,16000.0,51252.98
1398,48 1st Street Rent,98,Rent,-12.32229,51240.66
1399,42 3rd Street Rent,98,Rent,-38.02306,51202.64
1400,59 3rd Street Rent,98,Rent,-75.99196,51126.64
1401,7 3rd Avenue Rent,98,Rent,-42.2027,51084.44
1402,Katara Jewels Revenue,97,Revenue,1200.0,52284.44
1403,Delivery from United Ocean Import ,98,ImportDelivery,-33804.96,18479.48
1404,Marketing campaigns for Elite Jewels,98,Marketing,-500.0,17979.48
1405,Subway Ride,98,SubwayRide,-3.0,17976.48
1406,1 4th Street delivery from AJ Pederson & Son,98,DeliveryContract,-10930.0,7046.484
1407,Subway Ride,98,SubwayRide,-3.0,7043.484
1408,Purchase from Discount Market,98,ItemPurchase,-80.0,6963.484
1409,Evie Jones (Katalytica Daily Wage),98,Wage,-280.0,6683.484
1410,Lily Barton (Katalytica Daily Wage),98,Wage,-215.0,6468.484
1411,Zoe Gomez (Elite Jewels Daily Wage),98,Wage,-96.0,6372.484
1412,Tommy Brooks (Katalytica Daily Wage),98,Wage,-88.0,6284.484
1413,Katherine Moss (Elite Jewels Daily Wage),98,Wage,-75.0,6209.484
1414,Lara Norris (Warehouse #1 Daily Wage),98,Wage,-153.9,6055.584
1415,37 3rd Street Rent,99,Rent,-9.478683,6046.106
1416,Katalytica Revenue,98,Revenue,960.0,7006.106
1417,1 4th Street Rent,99,Rent,-64.31962,6941.786
1418,Elite Jewels Revenue,98,Revenue,12000.0,18941.79
1419,48 1st Street Rent,99,Rent,-12.32229,18929.46
1420,42 3rd Street Rent,99,Rent,-38.02306,18891.44
1421,59 3rd Street Rent,99,Rent,-75.99196,18815.45
1422,7 3rd Avenue Rent,99,Rent,-42.2027,18773.24
1423,Marketing campaigns for Elite Jewels,99,Marketing,-500.0,18273.24
1424,Karbucks Revenue,57,Revenue,804.6,9433.897
1425,7 3rd Avenue Rent,58,Rent,-42.2027,9391.694
1426,Katara Jewels Revenue,57,Revenue,516.0,9907.694
1427,Jensen Capital Loan Payment,58,LoanPayment,-100.0,9807.694
1428,Jensen Capital Loan Payment,58,LoanPayment,-75.0,9732.694
1429,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9757.694
1430,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9782.694
1431,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9807.694
1432,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9832.694
1433,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9857.694
1434,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9882.694
1435,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9907.694
1436,Salary from El Gato Food Market,58,PlayerJobSalary,25.0,9932.694
1437,Purchase from El Gato Food Market,58,ItemPurchase,-8.0,9924.694
1438,Subway Ride,58,SubwayRide,-3.0,9921.694
1439,Subway Ride,58,SubwayRide,-3.0,9918.694
1440,Evie Jones (Katalytica Daily Wage),58,Wage,-560.0,9358.694
1441,Zoe Gomez (Karbucks Daily Wage),58,Wage,-256.0,9102.694
1442,Tommy Brooks (Karbucks Daily Wage),58,Wage,-44.0,9058.694
1443,Christian Hall (KaraKata Holdings Daily Wage),58,Wage,-184.0,8874.694
1444,Merit Johnson (KaraKata Holdings Daily Wage),58,Wage,-224.0,8650.694
1445,Nathaniel Hill (Katara Jewels Daily Wage),58,Wage,-216.0,8434.694
1446,37 3rd Street Rent,59,Rent,-9.478683,8425.216
1447,Katalytica Revenue,58,Revenue,920.0,9345.216
1448,48 1st Street Rent,59,Rent,-12.32229,9332.894
1449,42 3rd Street Rent,59,Rent,-38.02306,9294.87
1450,59 3rd Street Rent,59,Rent,-75.99196,9218.878
1451,41 3rd Street Rent,59,Rent,-13.54097,9205.337
1452,Karbucks Revenue,58,Revenue,711.2,9916.537
1453,7 3rd Avenue Rent,59,Rent,-42.2027,9874.334
1454,Katara Jewels Revenue,58,Revenue,344.0,10218.33
1455,Jensen Capital Loan Payment,59,LoanPayment,-100.0,10118.33
1456,Jensen Capital Loan Payment,59,LoanPayment,-75.0,10043.33
1457,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10068.33
1458,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10093.33
1459,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10118.33
1460,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10143.33
1461,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10168.33
1462,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10193.33
1463,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10218.33
1464,Salary from El Gato Food Market,59,PlayerJobSalary,25.0,10243.33
1465,Purchase from El Gato Food Market,59,ItemPurchase,-8.0,10235.33
1466,Marketing campaigns for Katara Jewels,59,Marketing,-100.0,10135.33
1467,Subway Ride,59,SubwayRide,-3.0,10132.33
1468,Subway Ride,59,SubwayRide,-3.0,10129.33
1469,Evie Jones (Katalytica Daily Wage),59,Wage,-560.0,9569.334
1470,Tommy Brooks (Karbucks Daily Wage),59,Wage,-44.0,9525.334
1471,Christian Hall (KaraKata Holdings Daily Wage),59,Wage,-184.0,9341.334
1472,Merit Johnson (KaraKata Holdings Daily Wage),59,Wage,-224.0,9117.334
1473,Katherine Moss (Karbucks Daily Wage),59,Wage,-200.0,8917.334
1474,Nathaniel Hill (Katara Jewels Daily Wage),59,Wage,-216.0,8701.334
1475,37 3rd Street Rent,60,Rent,-9.478683,8691.855
1476,Katalytica Revenue,59,Revenue,920.0,9611.855
1477,48 1st Street Rent,60,Rent,-12.32229,9599.533
1478,42 3rd Street Rent,60,Rent,-38.02306,9561.51
1479,59 3rd Street Rent,60,Rent,-75.99196,9485.518
1480,41 3rd Street Rent,60,Rent,-13.54097,9471.977
1481,Karbucks Revenue,59,Revenue,661.2,10133.18
1482,7 3rd Avenue Rent,60,Rent,-42.2027,10090.97
1483,Katara Jewels Revenue,59,Revenue,344.0,10434.97
1484,Jensen Capital Loan Payment,60,LoanPayment,-100.0,10334.97
1485,Jensen Capital Loan Payment,60,LoanPayment,-75.0,10259.97
1486,Marketing campaigns for Katara Jewels,60,Marketing,-100.0,10159.97
1487,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10184.97
1488,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10209.97
1489,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10234.97
1490,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10259.97
1491,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10284.97
1492,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10309.97
1493,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10334.97
1494,Salary from El Gato Food Market,60,PlayerJobSalary,25.0,10359.97
1495,Purchase from El Gato Food Market,60,ItemPurchase,-16.0,10343.97
1496,Evie Jones (Katalytica Daily Wage),60,Wage,-280.0,10063.97
1497,Lily Barton (Katalytica Daily Wage),60,Wage,-215.0,9848.974
1498,Tommy Brooks (Karbucks Daily Wage),60,Wage,-44.0,9804.974
1499,Christian Hall (KaraKata Holdings Daily Wage),60,Wage,-184.0,9620.974
1500,Merit Johnson (KaraKata Holdings Daily Wage),60,Wage,-224.0,9396.974
1501,Katherine Moss (Karbucks Daily Wage),60,Wage,-200.0,9196.974
1502,Nathaniel Hill (Katara Jewels Daily Wage),60,Wage,-216.0,8980.974
1503,37 3rd Street Rent,61,Rent,-9.478683,8971.495
1504,Katalytica Revenue,60,Revenue,920.0,9891.495
1505,48 1st Street Rent,61,Rent,-12.32229,9879.173
1506,42 3rd Street Rent,61,Rent,-38.02306,9841.149
1507,59 3rd Street Rent,61,Rent,-75.99196,9765.157
1508,41 3rd Street Rent,61,Rent,-13.54097,9751.616
1509,Karbucks Revenue,60,Revenue,659.0,10410.62
1510,7 3rd Avenue Rent,61,Rent,-42.2027,10368.41
1511,Katara Jewels Revenue,60,Revenue,516.0,10884.41
1512,Jensen Capital Loan Payment,61,LoanPayment,-100.0,10784.41
1513,Jensen Capital Loan Payment,61,LoanPayment,-75.0,10709.41
1514,Marketing campaigns for Katara Jewels,61,Marketing,-100.0,10609.41
1515,Subway Ride,61,SubwayRide,-3.0,10606.41
1516,Subway Ride,61,SubwayRide,-3.0,10603.41
1517,Lily Barton (Katalytica Daily Wage),61,Wage,-430.0,10173.41
1518,Zoe Gomez (Karbucks Daily Wage),61,Wage,-256.0,9917.413
1519,Tommy Brooks (Karbucks Daily Wage),61,Wage,-44.0,9873.413
1520,Christian Hall (KaraKata Holdings Daily Wage),61,Wage,-184.0,9689.413
1521,Merit Johnson (KaraKata Holdings Daily Wage),61,Wage,-224.0,9465.413
1522,37 3rd Street Rent,62,Rent,-9.478683,9455.935
1523,Katalytica Revenue,61,Revenue,920.0,10375.93
1524,48 1st Street Rent,62,Rent,-12.32229,10363.61
1525,42 3rd Street Rent,62,Rent,-38.02306,10325.59
1526,59 3rd Street Rent,62,Rent,-75.99196,10249.6
1527,41 3rd Street Rent,62,Rent,-13.54097,10236.06
1528,Karbucks Revenue,61,Revenue,488.8,10724.86
1529,7 3rd Avenue Rent,62,Rent,-42.2027,10682.65
1530,Katara Jewels Revenue,61,Revenue,1032.0,11714.65
1531,Jensen Capital Loan Payment,62,LoanPayment,-100.0,11614.65
1532,Jensen Capital Loan Payment,62,LoanPayment,-75.0,11539.65
1533,Marketing campaigns for Katara Jewels,62,Marketing,-100.0,11439.65
1534,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11464.65
1535,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11489.65
1536,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11514.65
1537,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11539.65
1538,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11564.65
1539,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11589.65
1540,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11614.65
1541,Salary from El Gato Food Market,62,PlayerJobSalary,25.0,11639.65
1542,Subway Ride,62,SubwayRide,-3.0,11636.65
1543,Subway Ride,62,SubwayRide,-3.0,11633.65
1544,Lily Barton (Katalytica Daily Wage),62,Wage,-430.0,11203.65
1545,Tommy Brooks (Karbucks Daily Wage),62,Wage,-44.0,11159.65
1546,Katherine Moss (Karbucks Daily Wage),62,Wage,-200.0,10959.65
1547,Nathaniel Hill (Katara Jewels Daily Wage),62,Wage,-216.0,10743.65
1548,37 3rd Street Rent,63,Rent,-9.478683,10734.17
1549,Katalytica Revenue,62,Revenue,920.0,11654.17
1550,48 1st Street Rent,63,Rent,-12.32229,11641.85
1551,42 3rd Street Rent,63,Rent,-38.02306,11603.83
1552,59 3rd Street Rent,63,Rent,-75.99196,11527.84
1553,41 3rd Street Rent,63,Rent,-13.54097,11514.29
1554,Karbucks Revenue,62,Revenue,635.0,12149.29
1555,7 3rd Avenue Rent,63,Rent,-42.2027,12107.09
1556,Katara Jewels Revenue,62,Revenue,860.0,12967.09
1557,Delivery from United Ocean Import ,63,ImportDelivery,-4019.159,8947.933
1558,Jensen Capital Loan Payment,63,LoanPayment,-100.0,8847.933
1559,Jensen Capital Loan Payment,63,LoanPayment,-75.0,8772.933
1560,Marketing campaigns for Katara Jewels,63,Marketing,-100.0,8672.933
1561,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8697.933
1562,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8722.933
1563,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8747.933
1564,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8772.933
1565,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8797.933
1566,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8822.933
1567,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8847.933
1568,Salary from El Gato Food Market,63,PlayerJobSalary,25.0,8872.933
1569,Subway Ride,63,SubwayRide,-3.0,8869.933
1570,Subway Ride,63,SubwayRide,-3.0,8866.933
1571,Evie Jones (Katalytica Daily Wage),63,Wage,-280.0,8586.933
1572,Lily Barton (Katalytica Daily Wage),63,Wage,-215.0,8371.933
1573,Zoe Gomez (Karbucks Daily Wage),63,Wage,-160.0,8211.933
1574,Tommy Brooks (Karbucks Daily Wage),63,Wage,-44.0,8167.933
1575,Katherine Moss (Karbucks Daily Wage),63,Wage,-150.0,8017.933
1576,Nathaniel Hill (Katara Jewels Daily Wage),63,Wage,-216.0,7801.933
1577,37 3rd Street Rent,64,Rent,-9.478683,7792.454
1578,Katalytica Revenue,63,Revenue,920.0,8712.454
1579,48 1st Street Rent,64,Rent,-12.32229,8700.132
1580,42 3rd Street Rent,64,Rent,-38.02306,8662.108
1581,59 3rd Street Rent,64,Rent,-75.99196,8586.116
1582,41 3rd Street Rent,64,Rent,-13.54097,8572.575
1583,Karbucks Revenue,63,Revenue,959.7,9532.275
1584,7 3rd Avenue Rent,64,Rent,-42.2027,9490.072
1585,Katara Jewels Revenue,63,Revenue,1032.0,10522.07
1586,Jensen Capital Loan Payment,64,LoanPayment,-100.0,10422.07
1587,Jensen Capital Loan Payment,64,LoanPayment,-75.0,10347.07
1588,Marketing campaigns for Katara Jewels,64,Marketing,-100.0,10247.07
1589,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10272.07
1590,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10297.07
1591,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10322.07
1592,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10347.07
1593,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10372.07
1594,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10397.07
1595,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10422.07
1596,Salary from El Gato Food Market,64,PlayerJobSalary,25.0,10447.07
